anime_id,name,season,genre,mal_id,mal_slug,danime_work_id,danime_title
mushoku_tensei_iii_isekai_ittara_honki_d,Mushoku Tensei III: Isekai Ittara Honki Dasu,2026-summer,"Action,Drama,Fantasy,Other",59193,,29056,無職転生Ⅲ ～異世界行ったら本気だす～
youjosenki2,Youjo Senki II,2026-summer,"Action,Fantasy",49233,,29084,幼女戦記Ⅱ
super_no_ura_de_yani_suu_futari,Super no Ura de Yani Suu Futari,2026-summer,Romance,62076,,29057,スーパーの裏でヤニ吸うふたり
bleach_sennen_kessen-hen_-_kashin-tan,Bleach: Sennen Kessen-hen - Kashin-tan,2026-summer,"Action,Horror/Suspense",60636,,25851,BLEACH 千年血戦篇
yani_neko,Yani Neko,2026-summer,Comedy,63403,,29040,ヤニねこ
otome_game_sekai_wa_mob_ni_kibishii_seka,Otome Game Sekai wa Mob ni Kibishii Sekai desu 2,2026-summer,"Fantasy,Romance",54000,,29085,乙女ゲー世界はモブに厳しい世界です2
seihantai_na_kimi_to_boku_2nd_season,Seihantai na Kimi to Boku 2nd Season,2026-summer,"Comedy,Romance",63832,,28572,正反対な君と僕
grand_blue_season_3,Grand Blue Season 3,2026-summer,Comedy,62542,,29069,『ぐらんぶる』Season 3
black_torch,Black Torch,2026-summer,"Action,Horror/Suspense",61169,,29116,BLACK TORCH
gaikotsu_kishi-sama_tadaima_isekai_e_ode,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu II",2026-summer,"Action,Fantasy",60522,,29050,骸骨騎士様、只今異世界へお出掛け中Ⅱ
koukaku_kidoutai_tv,Koukaku Kidoutai (TV),2026-summer,"Action,Horror/Suspense,Sci-Fi",58929,,29115,『攻殻機動隊 THE GHOST IN THE SHELL』
kimi_ga_shinu_made_koi_wo_shitai,Kimi ga Shinu made Koi wo Shitai,2026-summer,"Fantasy,Romance",61126,,29088,きみが死ぬまで恋をしたい
clevatess_ii_majuu_no_ou_to_itsuwari_no_,Clevatess II: Majuu no Ou to Itsuwari no Yuusha Denshou,2026-summer,"Action,Fantasy",62513,,29086,クレバテスⅡ-魔獣の王と偽りの勇者伝承-
nijusseiki_denki_mokuroku_eureka_evrika,Nijusseiki Denki Mokuroku: Eureka Evrika,2026-summer,Drama,62856,,,
tsuihou_sareta_tensei_juukishi_wa_game_c,Tsuihou sareta Tensei Juukishi wa Game Chishiki de Musou suru,2026-summer,"Action,Fantasy",59741,,29107,追放された転生重騎士はゲーム知識で無双する
tenmaku_no_jaadugar,Tenmaku no Jaadugar,2026-summer,Drama,61483,,29060,天幕のジャードゥーガル
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo 3rd Season,2026-summer,"Comedy,Romance",62811,,29114,君のことが大大大大大好きな100人の彼女 第3期
katainaka_no_ossan_kensei_ni_naru_ii,"Katainaka no Ossan, Kensei ni Naru II",2026-summer,"Action,Fantasy",61897,,,
toumei_na_yoru_ni_kakeru_kimi_to_me_ni_m,"Toumei na Yoru ni Kakeru Kimi to, Me ni Mienai Koi wo Shita.",2026-summer,"Drama,Romance",62936,,29036,透明な夜に駆ける君と、目に見えない恋をした。
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,Futsutsuka na Akujo dewa Gozaimasu ga: Suuguu Chouso Torikae Den,2026-summer,"Fantasy,Romance",61240,,29128,ふつつかな悪女ではございますが ～雛宮蝶鼠とりかえ伝～
otome_kaijuu_caraméliser,Otome Kaijuu Caraméliser,2026-summer,"Romance,Horror/Suspense",63150,,29113,乙女怪獣キャラメリゼ
rakudai_kenja_no_gakuin_musou_nidome_no_,"Rakudai Kenja no Gakuin Musou: Nidome no Tensei, S-Rank Cheat Majutsushi Boukenroku",2026-summer,"Action,Fantasy",63508,,29039,落第賢者の学院無双～二度目の転生、Sランクチート魔術師冒険録～
tenkou-saki_no_seiso_karen_na_bishoujo_g,"Tenkou-saki no Seiso Karen na Bishoujo ga, Mukashi Danshi to Omotte Issho ni Asonda Osananajimi Datta Ken",2026-summer,"Comedy,Romance",56735,,29064,転校先の清楚可憐な美少女が、昔男子と思って一緒に遊んだ幼馴染だった件
saijo_no_osewa_takane_no_hanadarake_na_m,"Saijo no Osewa: Takane no Hanadarake na Meimonkou de, Gakuin Ichi no Ojousama (Seikatsu Nouryoku Kaimu) wo Kagenagara Osewa suru Koto ni Narimashita",2026-summer,"Comedy,Romance",62876,,29081,才女のお世話 高嶺の花だらけな名門校で、学院一のお嬢様(生活能力皆無)を陰ながらお世話することになりました
nige_jouzu_no_wakagimi_2nd_season,Nige Jouzu no Wakagimi 2nd Season,2026-summer,"Action,Comedy",60059,,29131,「逃げ上手の若君」第二期
lv999_no_murabito,Lv999 no Murabito,2026-summer,Fantasy,62322,,29103,LV999の村人
koko_wa_ore_ni_makasete_saki_ni_ike_to_i,Koko wa Ore ni Makasete Saki ni Ike to Itte kara 10-nen ga Tattara Densetsu ni Natteita.,2026-summer,"Action,Fantasy",62617,,29061,ここは俺に任せて先に行けと言ってから10年がたったら伝説になっていた。
sayonara_lara,Sayonara Lara,2026-summer,"Fantasy,Romance",58878,,29090,さよならララ
