anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-22,18:56:07,7.71,"80,565",,
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-24,21:50:09,7.70,"81,048",,
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-25,21:46:48,7.70,"81,288",,
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-26,21:52:13,7.70,"81,526",,
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-27,14:36:19,7.70,"81,759",34526,
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-28,09:19:22,7.71,"81,949",34621,
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-29,14:39:46,7.71,"82,200",34745,20
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-30,01:30:27,7.71,"82,287",34799,20
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-31,01:23:59,7.71,"82,506",34867,33
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-01,03:59:20,7.71,"82,781",34926,48
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-02,01:21:33,7.70,"82,965",34975,62
