anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-08-22,18:56:07,8.14,"64,292",,
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-08-24,21:50:09,8.15,"65,673",,
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-08-25,21:46:48,8.16,"66,369",,
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-08-26,21:52:13,8.16,"66,942",,
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-08-27,14:36:19,8.17,"67,279",53851,
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-08-28,09:19:22,8.17,"67,628",54108,
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-08-29,14:39:46,8.17,"68,172",54726,29
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-08-30,01:30:27,8.17,"68,371",54989,29
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-08-31,01:23:59,8.17,"68,946",55446,28
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-01,03:59:20,8.19,"69,878",56038,13
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-02,01:21:33,8.19,"70,441",56517,3
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-03,01:21:50,8.19,"70,972",56931,13
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-04,01:09:33,8.19,"71,440",57231,23
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-05,23:54:12,8.19,"72,400",57813,28
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-07,00:14:16,8.19,"72,908",58189,32
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-08,02:35:29,8.20,"73,710",58817,12
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-09,01:22:10,8.20,"74,303",59247,3
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-10,01:17:27,8.20,"74,854",59678,14
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-11,01:08:29,8.20,"75,291",59942,23
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-12,01:12:16,8.20,"75,801",60186,28
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-13,00:18:56,8.20,"76,290",60444,29
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-14,00:55:46,8.20,"76,892",60828,31
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-15,02:57:14,8.21,"77,824",,
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-16,01:38:50,8.21,"78,394",61841,3
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-17,01:31:57,8.22,"78,988",62273,14
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-18,01:37:31,8.22,"79,524",62524,21
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-19,01:08:49,8.22,"79,953",62702,21
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-20,00:41:07,8.22,"80,424",63053,26
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-21,00:46:18,8.27,"81,241",63417,27
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-22,03:04:37,8.27,"84,896",63151,11
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-23,01:39:16,8.26,"86,356",63322,3
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-24,01:31:02,8.25,"87,570",63485,12
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-09-25,01:51:19,8.25,"88,529",63635,18
