anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
gaikotsu_kishi-sama_tadaima_isekai_e_ode,2026-summer,2026-08-22,18:56:07,6.62,"86,527",,
gaikotsu_kishi-sama_tadaima_isekai_e_ode,2026-summer,2026-08-24,21:50:09,6.61,"86,905",,
gaikotsu_kishi-sama_tadaima_isekai_e_ode,2026-summer,2026-08-25,21:46:48,6.60,"87,150",,
gaikotsu_kishi-sama_tadaima_isekai_e_ode,2026-summer,2026-08-26,21:52:13,6.59,"87,345",,
gaikotsu_kishi-sama_tadaima_isekai_e_ode,2026-summer,2026-08-27,14:36:19,6.58,"87,475",78432,
gaikotsu_kishi-sama_tadaima_isekai_e_ode,2026-summer,2026-08-28,09:19:22,6.58,"87,609",78530,
gaikotsu_kishi-sama_tadaima_isekai_e_ode,2026-summer,2026-08-29,14:39:46,6.57,"87,783",78629,24
gaikotsu_kishi-sama_tadaima_isekai_e_ode,2026-summer,2026-08-30,01:30:27,6.57,"87,843",78675,24
gaikotsu_kishi-sama_tadaima_isekai_e_ode,2026-summer,2026-08-31,01:23:59,6.57,"88,025",78768,27
gaikotsu_kishi-sama_tadaima_isekai_e_ode,2026-summer,2026-09-01,03:59:20,6.57,"88,235",78915,35
gaikotsu_kishi-sama_tadaima_isekai_e_ode,2026-summer,2026-09-02,01:21:33,6.55,"88,433",79092,13
gaikotsu_kishi-sama_tadaima_isekai_e_ode,2026-summer,2026-09-03,01:21:50,6.55,"88,603",79254,4
gaikotsu_kishi-sama_tadaima_isekai_e_ode,2026-summer,2026-09-04,01:09:33,6.54,"88,780",79390,12
gaikotsu_kishi-sama_tadaima_isekai_e_ode,2026-summer,2026-09-05,23:54:12,6.54,"89,125",79579,25
