anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-08-22,18:56:07,7.06,"14,916",,
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-08-24,21:50:09,7.04,"15,023",,
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-08-25,21:46:48,7.04,"15,070",,
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-08-26,21:52:13,7.04,"15,106",,
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-08-27,14:36:19,7.05,"15,135",29202,
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-08-28,09:19:22,7.04,"15,156",29247,
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-08-29,14:39:46,7.04,"15,186",29312,104
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-08-30,01:30:27,7.04,"15,199",29364,104
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-08-31,01:23:59,7.04,"15,296",29560,45
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-09-01,03:59:20,7.03,"15,392",29644,18
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-09-02,01:21:33,7.03,"15,450",29719,49
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-09-03,01:21:50,7.04,"15,499",29807,57
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-09-04,01:09:33,7.04,"15,552",29862,72
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-09-05,23:54:12,7.04,"15,632",29956,91
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-09-07,00:14:16,7.03,"15,683",30151,44
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-09-08,02:35:29,7.04,"15,735",30256,18
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-09-09,01:22:10,7.04,"15,773",30316,50
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-09-10,01:17:27,7.03,"15,814",30395,58
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-09-11,01:08:29,7.03,"15,860",30459,76
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-09-12,01:12:16,7.02,"15,904",30496,93
