anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
nige_jouzu_no_wakagimi_2nd_season,2026-summer,2026-08-22,18:56:07,7.59,"49,208",,
nige_jouzu_no_wakagimi_2nd_season,2026-summer,2026-08-24,21:50:09,7.59,"49,506",,
nige_jouzu_no_wakagimi_2nd_season,2026-summer,2026-08-25,21:46:48,7.59,"49,610",,
nige_jouzu_no_wakagimi_2nd_season,2026-summer,2026-08-26,21:52:13,7.59,"49,706",,
nige_jouzu_no_wakagimi_2nd_season,2026-summer,2026-08-27,14:36:19,7.58,"49,771",43623,
nige_jouzu_no_wakagimi_2nd_season,2026-summer,2026-08-28,09:19:22,7.58,"49,835",43775,
nige_jouzu_no_wakagimi_2nd_season,2026-summer,2026-08-29,14:39:46,7.58,"49,999",43928,34
nige_jouzu_no_wakagimi_2nd_season,2026-summer,2026-08-30,01:30:27,7.58,"50,048",44017,34
nige_jouzu_no_wakagimi_2nd_season,2026-summer,2026-08-31,01:23:59,7.58,"50,194",44165,40
nige_jouzu_no_wakagimi_2nd_season,2026-summer,2026-09-01,03:59:20,7.58,"50,342",44283,47
nige_jouzu_no_wakagimi_2nd_season,2026-summer,2026-09-02,01:21:33,7.57,"50,424",44554,56
nige_jouzu_no_wakagimi_2nd_season,2026-summer,2026-09-03,01:21:50,7.57,"50,517",44735,10
nige_jouzu_no_wakagimi_2nd_season,2026-summer,2026-09-04,01:09:33,7.57,"50,598",44920,18
nige_jouzu_no_wakagimi_2nd_season,2026-summer,2026-09-05,23:54:12,7.57,"50,803",45233,34
