anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
oni_no_hanayome,2026-summer,2026-08-22,18:56:07,6.91,"32,963",,
oni_no_hanayome,2026-summer,2026-08-24,21:50:09,6.89,"33,472",,
oni_no_hanayome,2026-summer,2026-08-25,21:46:48,6.89,"33,636",,
oni_no_hanayome,2026-summer,2026-08-26,21:52:13,6.89,"33,808",,
oni_no_hanayome,2026-summer,2026-08-27,14:36:19,6.89,"33,919",49862,
oni_no_hanayome,2026-summer,2026-08-28,09:19:22,6.89,"34,032",49978,
oni_no_hanayome,2026-summer,2026-08-29,14:39:46,6.88,"34,207",50116,51
oni_no_hanayome,2026-summer,2026-08-30,01:30:27,6.88,"34,280",50249,51
oni_no_hanayome,2026-summer,2026-08-31,01:23:59,6.87,"34,540",50632,17
oni_no_hanayome,2026-summer,2026-09-01,03:59:20,6.87,"34,768",50846,7
oni_no_hanayome,2026-summer,2026-09-02,01:21:33,6.87,"34,922",51005,18
oni_no_hanayome,2026-summer,2026-09-03,01:21:50,6.87,"35,097",51150,31
oni_no_hanayome,2026-summer,2026-09-04,01:09:33,6.86,"35,244",51293,42
oni_no_hanayome,2026-summer,2026-09-05,23:54:12,6.86,"35,537",51557,42
