anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-22,18:56:07,8.46,"101,061",,
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-24,21:50:09,8.46,"102,207",,
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-25,21:46:48,8.47,"102,727",,
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-26,21:52:13,8.47,"103,200",,
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-27,14:36:19,8.47,"103,532",88814,
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-28,09:19:22,8.47,"103,866",88944,
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-29,14:39:46,8.46,"104,336",89163,21
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-30,01:30:27,8.47,"104,485",89239,21
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-31,01:23:59,8.47,"104,971",89432,31
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-01,03:59:20,8.48,"105,622",89595,36
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-02,01:21:33,8.48,"106,051",89727,34
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-03,01:21:50,8.48,"106,574",89886,42
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-04,01:09:33,8.48,"106,992",90061,9
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-05,01:03:50,8.48,"107,405",90233,11
