anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-08-22,18:56:07,5.72,"34,184",,
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-08-24,21:50:09,5.70,"34,556",,
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-08-25,21:46:48,5.69,"34,734",,
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-08-26,21:52:13,5.69,"34,887",,
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-08-27,14:36:19,5.68,"34,987",80928,
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-08-28,09:19:22,5.68,"35,073",81040,
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-08-29,14:39:46,5.68,"35,203",81219,26
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-08-30,01:30:27,5.68,"35,229",81302,26
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-08-31,01:23:59,5.67,"35,363",81614,25
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-01,03:59:20,5.66,"35,593",81943,6
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-02,01:21:33,5.66,"35,716",82203,4
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-03,01:21:50,5.66,"35,850",82426,14
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-04,01:09:33,5.65,"35,978",82565,22
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-05,23:54:12,5.65,"36,206",82857,26
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-07,00:14:16,5.64,"36,359",83121,27
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-08,02:35:29,5.63,"36,563",83410,6
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-09,01:22:10,5.62,"36,692",83577,4
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-10,01:17:27,5.62,"36,816",83774,15
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-11,01:08:29,5.62,"36,986",83909,22
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-12,01:12:16,5.61,"37,147",84015,26
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-13,00:18:56,5.61,"37,253",84172,26
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-14,00:55:46,5.60,"37,394",84418,27
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-15,02:57:14,5.59,"37,635",,
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-16,01:38:50,5.59,"37,782",84799,4
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-17,01:31:57,5.59,"37,937",84975,17
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-18,01:37:31,5.59,"38,090",85051,22
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-19,01:08:49,5.59,"38,227",85136,22
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-20,00:41:07,5.58,"38,383",85230,25
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-21,00:46:18,5.67,"38,801",84938,25
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-22,03:04:37,5.72,"40,548",83464,6
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-23,01:39:16,5.73,"41,226",82910,4
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-24,01:31:02,5.74,"41,674",82457,13
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-25,01:51:19,5.75,"42,072",82165,16
sekai_saikyou_no_kouei_meikyuukoku_no_sh,2026-summer,2026-09-26,01:55:37,5.75,"42,376",81937,18
