anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
thunder_3,2026-summer,2026-08-22,18:56:07,5.94,"3,442",,
thunder_3,2026-summer,2026-08-24,21:50:09,6.02,"3,451",,
thunder_3,2026-summer,2026-08-25,21:46:48,6.02,"3,462",,
thunder_3,2026-summer,2026-08-26,21:52:13,6.01,"3,472",,
thunder_3,2026-summer,2026-08-27,14:36:19,6.01,"3,481",,
thunder_3,2026-summer,2026-08-28,09:19:22,6.00,"3,491",,
thunder_3,2026-summer,2026-08-29,14:39:46,6.01,"3,493",,
thunder_3,2026-summer,2026-08-30,01:30:27,6.00,"3,496",,
thunder_3,2026-summer,2026-08-31,01:23:59,6.00,"3,503",,
thunder_3,2026-summer,2026-09-01,03:59:20,5.99,"3,515",,
thunder_3,2026-summer,2026-09-02,01:21:33,5.99,"3,525",,
thunder_3,2026-summer,2026-09-03,01:21:50,5.99,"3,534",,
thunder_3,2026-summer,2026-09-04,01:09:33,5.97,"3,549",,
thunder_3,2026-summer,2026-09-05,23:54:12,5.94,"3,570",,
