anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
uchi_no_otouto-domo_ga_sumimasen,2026-summer,2026-08-22,18:56:07,7.03,"16,351",,
uchi_no_otouto-domo_ga_sumimasen,2026-summer,2026-08-24,21:50:09,7.05,"16,507",,
uchi_no_otouto-domo_ga_sumimasen,2026-summer,2026-08-25,21:46:48,7.04,"16,565",,
uchi_no_otouto-domo_ga_sumimasen,2026-summer,2026-08-26,21:52:13,7.04,"16,629",,
uchi_no_otouto-domo_ga_sumimasen,2026-summer,2026-08-27,14:36:19,7.04,"16,670",24960,
uchi_no_otouto-domo_ga_sumimasen,2026-summer,2026-08-28,09:19:22,7.04,"16,714",24996,
uchi_no_otouto-domo_ga_sumimasen,2026-summer,2026-08-29,14:39:46,7.04,"16,795",25191,33
uchi_no_otouto-domo_ga_sumimasen,2026-summer,2026-08-30,01:30:27,7.04,"16,836",25296,33
uchi_no_otouto-domo_ga_sumimasen,2026-summer,2026-08-31,01:23:59,7.03,"16,922",25436,8
uchi_no_otouto-domo_ga_sumimasen,2026-summer,2026-09-01,03:59:20,7.03,"16,989",25513,43
uchi_no_otouto-domo_ga_sumimasen,2026-summer,2026-09-02,01:21:33,7.03,"17,045",25572,52
uchi_no_otouto-domo_ga_sumimasen,2026-summer,2026-09-03,01:21:50,7.03,"17,105",25637,65
