anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
yami_shibai_17,2026-summer,2026-08-22,18:56:07,,"1,464",,
yami_shibai_17,2026-summer,2026-08-24,21:50:09,,"1,474",,
yami_shibai_17,2026-summer,2026-08-25,21:46:48,,"1,480",,
yami_shibai_17,2026-summer,2026-08-26,21:52:13,,"1,485",,
yami_shibai_17,2026-summer,2026-08-27,14:36:19,,"1,489",1843,
yami_shibai_17,2026-summer,2026-08-28,09:19:22,,"1,494",1840,
yami_shibai_17,2026-summer,2026-08-29,14:39:46,,"1,499",1841,
yami_shibai_17,2026-summer,2026-08-30,01:30:27,,"1,501",1844,
yami_shibai_17,2026-summer,2026-08-31,01:23:59,,"1,506",1847,
yami_shibai_17,2026-summer,2026-09-01,03:59:20,,"1,509",1907,
