anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-22,18:56:07,7.71,"80,565",,
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-24,21:50:09,7.70,"81,048",,
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-25,21:46:48,7.70,"81,288",,
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-26,21:52:13,7.70,"81,526",,
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-27,14:36:19,7.70,"81,759",34526,
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-28,09:19:22,7.71,"81,949",34621,
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-29,14:39:46,7.71,"82,200",34745,20
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-30,01:30:27,7.71,"82,287",34799,20
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-31,01:23:59,7.71,"82,506",34867,33
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-01,03:59:20,7.71,"82,781",34926,48
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-02,01:21:33,7.70,"82,965",34975,62
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-03,01:21:50,7.70,"83,172",35088,68
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-04,01:09:33,7.70,"83,452",35231,17
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-05,23:54:12,7.71,"83,880",35393,20
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-07,00:14:16,7.71,"84,118",35453,38
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-08,02:35:29,7.71,"84,359",35492,51
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-09,01:22:10,7.71,"84,583",35539,60
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-10,01:17:27,7.71,"84,816",35656,68
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-11,01:08:29,7.72,"85,051",35821,16
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-12,01:12:16,7.72,"85,334",35937,7
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-13,00:18:56,7.72,"85,531",36032,21
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-14,00:55:46,7.72,"85,825",36090,36
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-15,02:57:14,7.72,"86,093",,
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-16,01:38:50,7.72,"86,267",36185,58
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-17,01:31:57,7.72,"86,503",36381,60
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-18,01:37:31,7.72,"86,806",36578,14
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-19,01:08:49,7.72,"87,058",36668,5
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-20,00:41:07,7.72,"87,315",36762,17
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-21,00:46:18,7.72,"87,626",36820,33
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-22,03:04:37,7.72,"87,975",36860,45
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-23,01:39:16,7.72,"88,229",36891,54
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-24,01:31:02,7.73,"88,523",36962,58
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-09-25,01:51:19,7.73,"89,006",37100,12
