anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
hell_mode_yarikomizuki_no_gamer_wa_hai_s,2026-summer,2026-08-22,18:56:07,7.25,"47,233",,
hell_mode_yarikomizuki_no_gamer_wa_hai_s,2026-summer,2026-08-24,21:50:09,7.25,"47,719",,
hell_mode_yarikomizuki_no_gamer_wa_hai_s,2026-summer,2026-08-25,21:46:48,7.24,"47,898",,
hell_mode_yarikomizuki_no_gamer_wa_hai_s,2026-summer,2026-08-26,21:52:13,7.24,"48,064",,
hell_mode_yarikomizuki_no_gamer_wa_hai_s,2026-summer,2026-08-27,14:36:19,7.24,"48,178",111522,
hell_mode_yarikomizuki_no_gamer_wa_hai_s,2026-summer,2026-08-28,09:19:22,7.24,"48,311",111599,
hell_mode_yarikomizuki_no_gamer_wa_hai_s,2026-summer,2026-08-29,14:39:46,7.24,"48,539",111807,7
hell_mode_yarikomizuki_no_gamer_wa_hai_s,2026-summer,2026-08-30,01:30:27,7.23,"48,655",111935,7
hell_mode_yarikomizuki_no_gamer_wa_hai_s,2026-summer,2026-08-31,01:23:59,7.23,"48,896",112221,1
hell_mode_yarikomizuki_no_gamer_wa_hai_s,2026-summer,2026-09-01,03:59:20,7.23,"49,108",112394,8
hell_mode_yarikomizuki_no_gamer_wa_hai_s,2026-summer,2026-09-02,01:21:33,7.23,"49,253",112535,11
hell_mode_yarikomizuki_no_gamer_wa_hai_s,2026-summer,2026-09-03,01:21:50,7.23,"49,418",112649,21
hell_mode_yarikomizuki_no_gamer_wa_hai_s,2026-summer,2026-09-04,01:09:33,7.23,"49,557",112760,29
