anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
kabushikigaisha_magi-lumière_2nd_season,2026-summer,2026-08-22,18:56:07,7.12,"12,052",,
kabushikigaisha_magi-lumière_2nd_season,2026-summer,2026-08-24,21:50:09,7.11,"12,101",,
kabushikigaisha_magi-lumière_2nd_season,2026-summer,2026-08-25,21:46:48,7.12,"12,123",,
kabushikigaisha_magi-lumière_2nd_season,2026-summer,2026-08-26,21:52:13,7.12,"12,143",,
kabushikigaisha_magi-lumière_2nd_season,2026-summer,2026-08-27,14:36:19,7.12,"12,156",15528,
kabushikigaisha_magi-lumière_2nd_season,2026-summer,2026-08-28,09:19:22,7.12,"12,168",15556,
kabushikigaisha_magi-lumière_2nd_season,2026-summer,2026-08-29,14:39:46,7.12,"12,193",15590,107
kabushikigaisha_magi-lumière_2nd_season,2026-summer,2026-08-30,01:30:27,7.12,"12,205",15607,107
kabushikigaisha_magi-lumière_2nd_season,2026-summer,2026-08-31,01:23:59,7.12,"12,235",15621,102
kabushikigaisha_magi-lumière_2nd_season,2026-summer,2026-09-01,03:59:20,7.12,"12,257",15664,107
kabushikigaisha_magi-lumière_2nd_season,2026-summer,2026-09-02,01:21:33,7.12,"12,275",15690,133
kabushikigaisha_magi-lumière_2nd_season,2026-summer,2026-09-03,01:21:50,7.12,"12,287",15729,104
kabushikigaisha_magi-lumière_2nd_season,2026-summer,2026-09-04,01:09:33,7.12,"12,305",15752,144
