anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
koko_wa_ore_ni_makasete_saki_ni_ike_to_i,2026-summer,2026-08-22,18:56:07,6.44,"47,543",,
koko_wa_ore_ni_makasete_saki_ni_ike_to_i,2026-summer,2026-08-24,21:50:09,6.43,"48,051",,
koko_wa_ore_ni_makasete_saki_ni_ike_to_i,2026-summer,2026-08-25,21:46:48,6.42,"48,238",,
koko_wa_ore_ni_makasete_saki_ni_ike_to_i,2026-summer,2026-08-26,21:52:13,6.42,"48,434",,
koko_wa_ore_ni_makasete_saki_ni_ike_to_i,2026-summer,2026-08-27,14:36:19,6.42,"48,560",104253,
koko_wa_ore_ni_makasete_saki_ni_ike_to_i,2026-summer,2026-08-28,09:19:22,6.41,"48,668",104431,
koko_wa_ore_ni_makasete_saki_ni_ike_to_i,2026-summer,2026-08-29,14:39:46,6.40,"48,933",104604,13
koko_wa_ore_ni_makasete_saki_ni_ike_to_i,2026-summer,2026-08-30,01:30:27,6.40,"49,040",104770,13
koko_wa_ore_ni_makasete_saki_ni_ike_to_i,2026-summer,2026-08-31,01:23:59,6.39,"49,251",104978,16
koko_wa_ore_ni_makasete_saki_ni_ike_to_i,2026-summer,2026-09-01,03:59:20,6.38,"49,471",105213,23
koko_wa_ore_ni_makasete_saki_ni_ike_to_i,2026-summer,2026-09-02,01:21:33,6.37,"49,636",105414,7
koko_wa_ore_ni_makasete_saki_ni_ike_to_i,2026-summer,2026-09-03,01:21:50,6.37,"49,794",105633,3
koko_wa_ore_ni_makasete_saki_ni_ike_to_i,2026-summer,2026-09-04,01:09:33,6.36,"49,940",105825,7
koko_wa_ore_ni_makasete_saki_ni_ike_to_i,2026-summer,2026-09-05,01:03:50,6.36,"50,109",105959,14
