anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-08-22,18:56:07,6.35,"56,173",,
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-08-24,21:50:09,6.33,"56,795",,
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-08-25,21:46:48,6.32,"57,069",,
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-08-26,21:52:13,6.32,"57,328",,
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-08-27,14:36:19,6.31,"57,504",100392,
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-08-28,09:19:22,6.30,"57,768",100660,
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-08-29,14:39:46,6.28,"58,174",101005,1
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-08-30,01:30:27,6.28,"58,295",101157,1
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-08-31,01:23:59,6.27,"58,565",101398,3
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-01,03:59:20,6.27,"58,901",101622,11
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-02,01:21:33,6.26,"59,086",101799,19
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-03,01:21:50,6.26,"59,281",101884,27
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-04,01:09:33,6.26,"59,482",102023,31
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-05,23:54:12,6.24,"60,210",102473,1
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-07,00:14:16,6.23,"60,520",102713,3
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-08,02:35:29,6.23,"60,787",102889,13
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-09,01:22:10,6.22,"61,035",102996,20
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-10,01:17:27,6.22,"61,277",103110,29
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-11,01:08:29,6.20,"61,577",103064,32
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-12,01:12:16,6.18,"64,646",101644,6
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-13,00:18:56,6.18,"65,869",101040,1
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-14,00:55:46,6.19,"67,021",100563,3
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-15,02:57:14,6.20,"67,987",,
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-16,01:38:50,6.20,"68,623",100175,17
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-17,01:31:57,6.20,"69,282",100027,27
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-18,01:37:31,6.20,"69,849",99823,30
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-19,01:08:49,6.20,"70,397",99616,23
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-20,00:41:07,6.20,"70,958",99386,27
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-21,00:46:18,6.20,"71,529",99120,34
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-22,03:04:37,6.20,"72,167",98823,35
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-23,01:39:16,6.20,"72,672",98533,38
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-24,01:31:02,6.20,"73,146",98209,44
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-09-25,01:51:19,6.19,"73,610",98021,42
