anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
lets_go_kaiki-gumi,2026-summer,2026-08-22,18:56:07,6.34,"9,319",,
lets_go_kaiki-gumi,2026-summer,2026-08-24,21:50:09,6.36,"9,437",,
lets_go_kaiki-gumi,2026-summer,2026-08-25,21:46:48,6.36,"9,472",,
lets_go_kaiki-gumi,2026-summer,2026-08-26,21:52:13,6.37,"9,506",,
lets_go_kaiki-gumi,2026-summer,2026-08-27,14:36:19,6.37,"9,538",12994,
lets_go_kaiki-gumi,2026-summer,2026-08-28,09:19:22,6.37,"9,562",13055,
lets_go_kaiki-gumi,2026-summer,2026-08-29,14:39:46,6.36,"9,592",13126,90
lets_go_kaiki-gumi,2026-summer,2026-08-30,01:30:27,6.37,"9,609",13161,90
lets_go_kaiki-gumi,2026-summer,2026-08-31,01:23:59,6.36,"9,636",13410,94
lets_go_kaiki-gumi,2026-summer,2026-09-01,03:59:20,6.36,"9,693",13489,33
