anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
tai-ari_deshita_ojousama_wa_kakutou_game,2026-summer,2026-08-22,18:56:07,7.50,"45,561",,
tai-ari_deshita_ojousama_wa_kakutou_game,2026-summer,2026-08-24,21:50:09,7.49,"45,824",,
tai-ari_deshita_ojousama_wa_kakutou_game,2026-summer,2026-08-25,21:46:48,7.49,"45,929",,
tai-ari_deshita_ojousama_wa_kakutou_game,2026-summer,2026-08-26,21:52:13,7.50,"46,112",,
tai-ari_deshita_ojousama_wa_kakutou_game,2026-summer,2026-08-27,14:36:19,7.50,"46,220",34618,
tai-ari_deshita_ojousama_wa_kakutou_game,2026-summer,2026-08-28,09:19:22,7.50,"46,314",34731,
tai-ari_deshita_ojousama_wa_kakutou_game,2026-summer,2026-08-29,14:39:46,7.50,"46,445",34882,48
tai-ari_deshita_ojousama_wa_kakutou_game,2026-summer,2026-08-30,01:30:27,7.50,"46,495",34923,48
tai-ari_deshita_ojousama_wa_kakutou_game,2026-summer,2026-08-31,01:23:59,7.50,"46,619",35006,51
tai-ari_deshita_ojousama_wa_kakutou_game,2026-summer,2026-09-01,03:59:20,7.50,"46,749",35103,59
tai-ari_deshita_ojousama_wa_kakutou_game,2026-summer,2026-09-02,01:21:33,7.50,"46,847",35365,67
tai-ari_deshita_ojousama_wa_kakutou_game,2026-summer,2026-09-03,01:21:50,7.49,"46,973",35579,17
