anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
tenkou-saki_no_seiso_karen_na_bishoujo_g,2026-summer,2026-08-22,18:56:07,6.97,"55,344",,
tenkou-saki_no_seiso_karen_na_bishoujo_g,2026-summer,2026-08-24,21:50:09,6.96,"55,750",,
tenkou-saki_no_seiso_karen_na_bishoujo_g,2026-summer,2026-08-25,21:46:48,6.95,"56,064",,
tenkou-saki_no_seiso_karen_na_bishoujo_g,2026-summer,2026-08-26,21:52:13,6.95,"56,406",,
tenkou-saki_no_seiso_karen_na_bishoujo_g,2026-summer,2026-08-27,14:36:19,6.95,"56,586",48828,
tenkou-saki_no_seiso_karen_na_bishoujo_g,2026-summer,2026-08-28,09:19:22,6.95,"56,775",48914,
tenkou-saki_no_seiso_karen_na_bishoujo_g,2026-summer,2026-08-29,14:39:46,6.95,"57,016",49050,43
tenkou-saki_no_seiso_karen_na_bishoujo_g,2026-summer,2026-08-30,01:30:27,6.94,"57,088",49104,43
tenkou-saki_no_seiso_karen_na_bishoujo_g,2026-summer,2026-08-31,01:23:59,6.94,"57,334",49230,47
tenkou-saki_no_seiso_karen_na_bishoujo_g,2026-summer,2026-09-01,03:59:20,6.93,"57,610",49421,52
tenkou-saki_no_seiso_karen_na_bishoujo_g,2026-summer,2026-09-02,01:21:33,6.92,"57,910",49751,24
tenkou-saki_no_seiso_karen_na_bishoujo_g,2026-summer,2026-09-03,01:21:50,6.92,"58,173",49947,8
tenkou-saki_no_seiso_karen_na_bishoujo_g,2026-summer,2026-09-04,01:09:33,6.91,"58,393",50073,26
tenkou-saki_no_seiso_karen_na_bishoujo_g,2026-summer,2026-09-05,23:54:12,6.91,"58,788",50273,40
