anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
lv999_no_murabito,2026-summer,2026-08-22,18:56:07,6.15,"47,924",,
lv999_no_murabito,2026-summer,2026-08-24,21:50:09,6.14,"48,272",,
lv999_no_murabito,2026-summer,2026-08-25,21:46:48,6.14,"48,419",,
lv999_no_murabito,2026-summer,2026-08-26,21:52:13,6.14,"48,575",,
lv999_no_murabito,2026-summer,2026-08-27,14:36:19,6.13,"48,746",20563,
lv999_no_murabito,2026-summer,2026-08-28,09:19:22,6.13,"48,914",20625,
lv999_no_murabito,2026-summer,2026-08-29,14:39:46,6.12,"49,108",20688,
lv999_no_murabito,2026-summer,2026-08-30,01:30:27,6.12,"49,166",20741,
lv999_no_murabito,2026-summer,2026-08-31,01:23:59,6.12,"49,352",20790,
lv999_no_murabito,2026-summer,2026-09-01,03:59:20,6.12,"49,551",20838,
lv999_no_murabito,2026-summer,2026-09-02,01:21:33,6.11,"49,692",20885,
lv999_no_murabito,2026-summer,2026-09-03,01:21:50,6.11,"49,860",20959,
lv999_no_murabito,2026-summer,2026-09-04,01:09:33,6.10,"50,123",21059,
lv999_no_murabito,2026-summer,2026-09-05,23:54:12,6.09,"50,450",21178,
