anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-08-22,18:56:07,6.88,"41,531",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-08-24,21:50:09,6.87,"41,969",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-08-25,21:46:48,6.87,"42,131",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-08-26,21:52:13,6.87,"42,288",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-08-27,14:36:19,6.87,"42,387",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-08-28,09:19:22,6.87,"42,508",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-08-29,14:39:46,6.86,"42,767",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-08-30,01:30:27,6.86,"42,888",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-08-31,01:23:59,6.86,"43,117",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-09-01,03:59:20,6.85,"43,348",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-09-02,01:21:33,6.85,"43,489",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-09-03,01:21:50,6.85,"43,649",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-09-04,01:09:33,6.84,"43,771",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-09-05,23:54:12,6.80,"44,178",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-09-07,00:14:16,6.79,"44,399",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-09-08,02:35:29,6.78,"44,579",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-09-09,01:22:10,6.78,"44,731",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-09-10,01:17:27,6.77,"44,870",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-09-11,01:08:29,6.77,"45,031",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-09-12,01:12:16,6.77,"45,226",,
