anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
iwamoto-senpai_no_suisen,2026-summer,2026-08-22,18:56:07,5.72,"10,757",,
iwamoto-senpai_no_suisen,2026-summer,2026-08-24,21:50:09,5.71,"10,820",,
iwamoto-senpai_no_suisen,2026-summer,2026-08-25,21:46:48,5.71,"10,841",,
iwamoto-senpai_no_suisen,2026-summer,2026-08-26,21:52:13,5.71,"10,869",,
iwamoto-senpai_no_suisen,2026-summer,2026-08-27,14:36:19,5.71,"10,895",18889,
iwamoto-senpai_no_suisen,2026-summer,2026-08-28,09:19:22,5.71,"10,911",18916,
iwamoto-senpai_no_suisen,2026-summer,2026-08-29,14:39:46,5.71,"10,927",18955,153
iwamoto-senpai_no_suisen,2026-summer,2026-08-30,01:30:27,5.70,"10,939",19163,153
iwamoto-senpai_no_suisen,2026-summer,2026-08-31,01:23:59,5.70,"10,977",19403,60
iwamoto-senpai_no_suisen,2026-summer,2026-09-01,03:59:20,5.69,"11,006",19437,44
iwamoto-senpai_no_suisen,2026-summer,2026-09-02,01:21:33,5.69,"11,022",19463,78
iwamoto-senpai_no_suisen,2026-summer,2026-09-03,01:21:50,5.68,"11,041",19501,117
iwamoto-senpai_no_suisen,2026-summer,2026-09-04,01:09:33,5.68,"11,064",19538,146
iwamoto-senpai_no_suisen,2026-summer,2026-09-05,23:54:12,5.68,"11,107",19643,176
iwamoto-senpai_no_suisen,2026-summer,2026-09-07,00:14:16,5.68,"11,130",19748,63
iwamoto-senpai_no_suisen,2026-summer,2026-09-08,02:35:29,5.68,"11,166",19758,48
iwamoto-senpai_no_suisen,2026-summer,2026-09-09,01:22:10,5.67,"11,179",19774,83
iwamoto-senpai_no_suisen,2026-summer,2026-09-10,01:17:27,5.68,"11,201",19783,121
iwamoto-senpai_no_suisen,2026-summer,2026-09-11,01:08:29,5.67,"11,219",19790,142
iwamoto-senpai_no_suisen,2026-summer,2026-09-12,01:12:16,5.67,"11,236",19810,186
iwamoto-senpai_no_suisen,2026-summer,2026-09-13,00:18:56,5.67,"11,262",19863,166
iwamoto-senpai_no_suisen,2026-summer,2026-09-14,00:55:46,5.68,"11,316",19980,65
iwamoto-senpai_no_suisen,2026-summer,2026-09-15,02:57:14,5.67,"11,340",,
iwamoto-senpai_no_suisen,2026-summer,2026-09-16,01:38:50,5.67,"11,365",20059,79
iwamoto-senpai_no_suisen,2026-summer,2026-09-17,01:31:57,5.67,"11,383",20094,123
iwamoto-senpai_no_suisen,2026-summer,2026-09-18,01:37:31,5.66,"11,412",20111,146
iwamoto-senpai_no_suisen,2026-summer,2026-09-19,01:08:49,5.67,"11,436",20140,165
iwamoto-senpai_no_suisen,2026-summer,2026-09-20,00:41:07,5.94,"11,478",20176,165
iwamoto-senpai_no_suisen,2026-summer,2026-09-21,00:46:18,5.92,"11,628",20037,58
iwamoto-senpai_no_suisen,2026-summer,2026-09-22,03:04:37,5.89,"11,694",19936,42
iwamoto-senpai_no_suisen,2026-summer,2026-09-23,01:39:16,5.89,"11,739",19900,75
iwamoto-senpai_no_suisen,2026-summer,2026-09-24,01:31:02,5.88,"11,771",19858,99
