anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
koukaku_kidoutai_tv,2026-summer,2026-08-22,18:56:07,7.95,"86,847",,
koukaku_kidoutai_tv,2026-summer,2026-08-24,21:50:09,7.95,"87,401",,
koukaku_kidoutai_tv,2026-summer,2026-08-25,21:46:48,7.95,"87,651",,
koukaku_kidoutai_tv,2026-summer,2026-08-26,21:52:13,7.95,"88,008",,
koukaku_kidoutai_tv,2026-summer,2026-08-27,14:36:19,7.95,"88,301",37967,
koukaku_kidoutai_tv,2026-summer,2026-08-28,09:19:22,7.95,"88,497",38076,
koukaku_kidoutai_tv,2026-summer,2026-08-29,14:39:46,7.94,"88,791",38202,36
koukaku_kidoutai_tv,2026-summer,2026-08-30,01:30:27,7.94,"88,898",38247,36
koukaku_kidoutai_tv,2026-summer,2026-08-31,01:23:59,7.94,"89,143",38307,43
koukaku_kidoutai_tv,2026-summer,2026-09-01,03:59:20,7.94,"89,473",38367,54
koukaku_kidoutai_tv,2026-summer,2026-09-02,01:21:33,7.94,"89,692",38443,66
koukaku_kidoutai_tv,2026-summer,2026-09-03,01:21:50,7.94,"89,986",38534,71
koukaku_kidoutai_tv,2026-summer,2026-09-04,01:09:33,7.94,"90,238",38655,44
