anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
reiwa_no_dara-san,2026-summer,2026-08-22,18:56:07,6.89,"21,449",,
reiwa_no_dara-san,2026-summer,2026-08-24,21:50:09,6.90,"21,664",,
reiwa_no_dara-san,2026-summer,2026-08-25,21:46:48,6.90,"21,754",,
reiwa_no_dara-san,2026-summer,2026-08-26,21:52:13,6.90,"21,848",,
reiwa_no_dara-san,2026-summer,2026-08-27,14:36:19,6.90,"21,921",35204,
reiwa_no_dara-san,2026-summer,2026-08-28,09:19:22,6.90,"22,044",35515,
reiwa_no_dara-san,2026-summer,2026-08-29,14:39:46,6.91,"22,370",35829,4
reiwa_no_dara-san,2026-summer,2026-08-30,01:30:27,6.91,"22,440",35985,4
reiwa_no_dara-san,2026-summer,2026-08-31,01:23:59,6.92,"22,629",36214,15
reiwa_no_dara-san,2026-summer,2026-09-01,03:59:20,6.92,"22,845",36347,31
reiwa_no_dara-san,2026-summer,2026-09-02,01:21:33,6.92,"22,961",36452,42
reiwa_no_dara-san,2026-summer,2026-09-03,01:21:50,6.92,"23,106",36552,46
reiwa_no_dara-san,2026-summer,2026-09-04,01:09:33,6.93,"23,243",36727,50
reiwa_no_dara-san,2026-summer,2026-09-05,23:54:12,6.94,"23,518",37133,5
reiwa_no_dara-san,2026-summer,2026-09-07,00:14:16,6.95,"23,654",37288,17
reiwa_no_dara-san,2026-summer,2026-09-08,02:35:29,6.95,"23,802",37403,32
reiwa_no_dara-san,2026-summer,2026-09-09,01:22:10,6.95,"23,888",37485,40
reiwa_no_dara-san,2026-summer,2026-09-10,01:17:27,6.95,"23,993",37579,47
reiwa_no_dara-san,2026-summer,2026-09-11,01:08:29,6.95,"24,105",37741,50
reiwa_no_dara-san,2026-summer,2026-09-12,01:12:16,6.96,"24,303",37927,10
reiwa_no_dara-san,2026-summer,2026-09-13,00:18:56,6.96,"24,448",38100,5
