anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
honoo_no_toukyuujo_dodge_danko,2026-summer,2026-08-22,18:56:07,6.30,"2,935",,
honoo_no_toukyuujo_dodge_danko,2026-summer,2026-08-24,21:50:09,6.29,"2,952",,
honoo_no_toukyuujo_dodge_danko,2026-summer,2026-08-25,21:46:48,6.30,"2,958",,
honoo_no_toukyuujo_dodge_danko,2026-summer,2026-08-26,21:52:13,6.33,"2,981",,
honoo_no_toukyuujo_dodge_danko,2026-summer,2026-08-27,14:36:19,6.33,"2,997",5504,
honoo_no_toukyuujo_dodge_danko,2026-summer,2026-08-28,09:19:22,6.33,"3,022",5508,
honoo_no_toukyuujo_dodge_danko,2026-summer,2026-08-29,14:39:46,6.35,"3,069",5519,
honoo_no_toukyuujo_dodge_danko,2026-summer,2026-08-30,01:30:27,6.38,"3,080",5525,
honoo_no_toukyuujo_dodge_danko,2026-summer,2026-08-31,01:23:59,6.38,"3,093",5543,
honoo_no_toukyuujo_dodge_danko,2026-summer,2026-09-01,03:59:20,6.38,"3,112",5565,
honoo_no_toukyuujo_dodge_danko,2026-summer,2026-09-02,01:21:33,6.37,"3,133",5572,101
honoo_no_toukyuujo_dodge_danko,2026-summer,2026-09-03,01:21:50,6.37,"3,140",5577,62
