anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-08-22,18:56:07,8.12,"72,861",,
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-08-24,21:50:09,8.11,"73,372",,
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-08-25,21:46:48,8.10,"73,592",,
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-08-26,21:52:13,8.10,"73,781",,
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-08-27,14:36:19,8.10,"73,903",27971,
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-08-28,09:19:22,8.10,"74,041",28019,
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-08-29,14:39:46,8.09,"74,255",28082,61
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-08-30,01:30:27,8.09,"74,325",28122,61
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-08-31,01:23:59,8.09,"74,505",28263,61
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-09-01,03:59:20,8.09,"74,789",28410,28
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-09-02,01:21:33,8.09,"74,945",28508,12
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-09-03,01:21:50,8.09,"75,129",28580,34
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-09-04,01:09:33,8.08,"75,295",28631,46
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-09-05,23:54:12,8.08,"75,620",28748,62
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-09-07,00:14:16,8.08,"75,796",28865,62
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-09-08,02:35:29,8.08,"76,077",29003,27
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-09-09,01:22:10,8.08,"76,248",29065,12
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-09-10,01:17:27,8.08,"76,415",29132,38
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-09-11,01:08:29,8.08,"76,562",29185,47
