anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-22,18:56:07,8.46,"101,061",,
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-24,21:50:09,8.46,"102,207",,
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-25,21:46:48,8.47,"102,727",,
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-26,21:52:13,8.47,"103,200",,
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-27,14:36:19,8.47,"103,532",88814,
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-28,09:19:22,8.47,"103,866",88944,
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-29,14:39:46,8.46,"104,336",89163,21
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-30,01:30:27,8.47,"104,485",89239,21
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-31,01:23:59,8.47,"104,971",89432,31
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-01,03:59:20,8.48,"105,622",89595,36
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-02,01:21:33,8.48,"106,051",89727,34
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-03,01:21:50,8.48,"106,574",89886,42
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-04,01:09:33,8.48,"106,992",90061,9
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-05,23:54:12,8.48,"107,803",90365,21
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-07,00:14:16,8.48,"108,304",90541,33
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-08,02:35:29,8.49,"108,945",90723,41
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-09,01:22:10,8.49,"109,430",90829,35
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-10,01:17:27,8.49,"109,887",91037,44
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-11,01:08:29,8.49,"110,290",91246,10
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-12,01:12:16,8.49,"110,668",91382,9
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-13,00:18:56,8.49,"111,068",91538,20
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-14,00:55:46,8.49,"111,562",91692,32
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-15,02:57:14,8.50,"112,210",,
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-16,01:38:50,8.50,"112,667",91903,35
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-17,01:31:57,8.50,"113,119",92089,43
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-18,01:37:31,8.50,"113,503",92222,8
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-19,01:08:49,8.50,"113,847",92356,8
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-20,00:41:07,8.50,"114,249",92510,19
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-21,00:46:18,8.50,"114,775",92629,30
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-09-22,03:04:37,8.50,"115,421",92751,34
