anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
tefuda_ga_oome_no_victoria,2026-summer,2026-08-22,18:56:07,7.35,"23,127",,
tefuda_ga_oome_no_victoria,2026-summer,2026-08-24,21:50:09,7.35,"23,348",,
tefuda_ga_oome_no_victoria,2026-summer,2026-08-25,21:46:48,7.35,"23,429",,
tefuda_ga_oome_no_victoria,2026-summer,2026-08-26,21:52:13,7.36,"23,610",,
tefuda_ga_oome_no_victoria,2026-summer,2026-08-27,14:36:19,7.36,"23,700",46118,
tefuda_ga_oome_no_victoria,2026-summer,2026-08-28,09:19:22,7.36,"23,777",46311,
tefuda_ga_oome_no_victoria,2026-summer,2026-08-29,14:39:46,7.37,"23,895",46548,25
tefuda_ga_oome_no_victoria,2026-summer,2026-08-30,01:30:27,7.37,"23,929",46661,25
tefuda_ga_oome_no_victoria,2026-summer,2026-08-31,01:23:59,7.37,"24,046",46844,37
tefuda_ga_oome_no_victoria,2026-summer,2026-09-01,03:59:20,7.37,"24,144",46948,46
