anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
azur_lane_bisoku_zenshin_ni,2026-summer,2026-08-22,18:56:07,6.79,"7,957",,
bang_dream_yumemita,2026-summer,2026-08-22,18:56:07,7.54,"10,357",,
black_torch,2026-summer,2026-08-22,18:56:07,7.01,"87,929",,
bleach_sennen_kessen-hen_-_kashin-tan,2026-summer,2026-08-22,18:56:07,9.04,"143,481",,
buchigire_reijou_wa_houfuku_wo_chikaimas,2026-summer,2026-08-22,18:56:07,6.89,"32,859",,
bungou_stray_dogs_wan_2,2026-summer,2026-08-22,18:56:07,7.32,"11,464",,
clevatess_ii_majuu_no_ou_to_itsuwari_no_,2026-summer,2026-08-22,18:56:07,7.71,"80,565",,
dogulwang,2026-summer,2026-08-22,18:56:07,6.68,"43,327",,
futsutsuka_na_akujo_dewa_gozaimasu_ga_su,2026-summer,2026-08-22,18:56:07,8.14,"64,292",,
gaikotsu_kishi-sama_tadaima_isekai_e_ode,2026-summer,2026-08-22,18:56:07,6.62,"86,527",,
grand_blue_season_3,2026-summer,2026-08-22,18:56:07,8.40,"98,897",,
grow_up_show_himawari_no_circus-dan,2026-summer,2026-08-22,18:56:07,7.21,"14,016",,
hanaori-san_wa_tensei_shitemo_kenka_ga_s,2026-summer,2026-08-22,18:56:07,7.03,"33,730",,
hanazakari_no_kimitachi_e_2nd_season,2026-summer,2026-08-22,18:56:07,7.34,"14,244",,
hell_mode_yarikomizuki_no_gamer_wa_hai_s,2026-summer,2026-08-22,18:56:07,7.25,"47,233",,
heroine_seijo_iie_all_works_maid_desu_ho,2026-summer,2026-08-22,18:56:07,7.12,"32,479",,
hokuto_no_ken_kenougun_zako-tachi_no_ban,2026-summer,2026-08-22,18:56:07,,873,,
honoo_no_toukyuujo_dodge_danko,2026-summer,2026-08-22,18:56:07,6.30,"2,935",,
ibitte_konai_gibo_to_gishi,2026-summer,2026-08-22,18:56:07,6.83,"17,009",,
iwamoto-senpai_no_suisen,2026-summer,2026-08-22,18:56:07,5.72,"10,757",,
kabushikigaisha_magi-lumière_2nd_season,2026-summer,2026-08-22,18:56:07,7.12,"12,052",,
katainaka_no_ossan_kensei_ni_naru_ii,2026-summer,2026-08-22,18:56:07,7.20,"69,980",,
kimi_ga_shinu_made_koi_wo_shitai,2026-summer,2026-08-22,18:56:07,7.73,"82,771",,
kimi_no_koto_ga_daidaidaidaidaisuki_na_1,2026-summer,2026-08-22,18:56:07,8.12,"72,861",,
kimi_wo_aisuru_ki_wa_nai_to_itta_jiki_ko,2026-summer,2026-08-22,18:56:07,6.78,"20,029",,
koko_wa_ore_ni_makasete_saki_ni_ike_to_i,2026-summer,2026-08-22,18:56:07,6.44,"47,543",,
kore_kaite_shine,2026-summer,2026-08-22,18:56:07,7.68,"16,999",,
koukaku_kidoutai_tv,2026-summer,2026-08-22,18:56:07,7.95,"86,847",,
lets_go_kaiki-gumi,2026-summer,2026-08-22,18:56:07,6.34,"9,319",,
lv999_no_murabito,2026-summer,2026-08-22,18:56:07,6.15,"47,924",,
mahou_shoujo_lyrical_nanoha_exceeds_gun_,2026-summer,2026-08-22,18:56:07,7.06,"14,916",,
mebius_dust,2026-summer,2026-08-22,18:56:07,5.33,"6,481",,
migawari_reijou_wo_sukutta_no_wa_reikoku,2026-summer,2026-08-22,18:56:07,5.62,"7,143",,
mujikaku_seijo_wa_kyou_mo_muishiki_ni_ch,2026-summer,2026-08-22,18:56:07,6.49,"28,406",,
mushoku_tensei_iii_isekai_ittara_honki_d,2026-summer,2026-08-22,18:56:07,8.59,"304,401",,
neko_to_ryuu,2026-summer,2026-08-22,18:56:07,7.73,"37,500",,
nige_jouzu_no_wakagimi_2nd_season,2026-summer,2026-08-22,18:56:07,7.59,"49,208",,
nijusseiki_denki_mokuroku_eureka_evrika,2026-summer,2026-08-22,18:56:07,7.64,"81,083",,
oni_no_hanayome,2026-summer,2026-08-22,18:56:07,6.91,"32,963",,
otome_game_sekai_wa_mob_ni_kibishii_seka,2026-summer,2026-08-22,18:56:07,6.72,"103,028",,
otome_kaijuu_caraméliser,2026-summer,2026-08-22,18:56:07,7.55,"57,605",,
perfect_addiction,2026-summer,2026-08-22,18:56:07,6.07,"7,492",,
plannosaurus_gachi_koseibutsu-bu,2026-summer,2026-08-22,18:56:07,,380,,
rakudai_kenja_no_gakuin_musou_nidome_no_,2026-summer,2026-08-22,18:56:07,6.35,"56,173",,
reiwa_no_dara-san,2026-summer,2026-08-22,18:56:07,6.89,"21,449",,
ryoumin_0-nin_start_no_henkyou_ryoushu-s,2026-summer,2026-08-22,18:56:07,6.88,"41,531",,
saijo_no_osewa_takane_no_hanadarake_na_m,2026-summer,2026-08-22,18:56:07,7.20,"53,110",,
saikyou_degarashi_ouji_no_anyaku_teii_ar,2026-summer,2026-08-22,18:56:07,6.31,"31,905",,
sayonara_lara,2026-summer,2026-08-22,18:56:07,7.91,"47,834",,
seihantai_na_kimi_to_boku_2nd_season,2026-summer,2026-08-22,18:56:07,8.46,"101,061",,
